intid,q1,tenure,rsentity,int_gender,int_ethnicity,off_female,off_bosniak,elected,tr_wearhijab,hijab_muslim,dv_const_1,dv_const_2,dv_const_3,dv_const_4,dv_const_5,dv_const_6,dv_represent_scale,dv_ethnic_coop_scale,approve_scale
26846,1,3,1,2,1,0,0,1,0,0,5,2,5,2,5,4,0.22632949,-0.48294419,4
26846,1,12,1,2,1,0,0,1,1,0,5,5,5,5,4,5,1.490535,0.81244469,5
26846,1,0,1,2,1,0,0,0,0,0,4,3,4,3,4,2,-0.21750557,-0.46647879,2
26846,1,10,1,2,1,0,0,1,1,0,5,2,4,2,5,2,-0.22427088,-0.48294419,2
26846,1,3,1,2,1,1,0,1,1,0,2,4,5,4,5,3,-0.17477645,0.79597932,3
26846,1,3,1,2,1,1,0,1,1,0,4,3,4,5,5,4,-0.21750557,1.435441,4
26846,1,0,1,2,1,1,0,0,0,0,5,4,5,4,5,4,1.0691332,0.79597932,4
26846,1,0,1,2,1,0,0,0,0,0,5,3,4,4,4,5,0.19713096,0.17298293,5
26846,1,0,1,2,1,1,0,0,1,0,4,5,5,5,5,5,1.0758985,1.435441,5
26846,1,3,1,2,1,0,0,1,1,0,4,4,4,4,4,4,0.20389625,0.17298293,4
26846,1,0,1,2,1,0,0,0,1,0,4,4,4,4,4,4,0.20389625,0.17298293,4
26846,1,16,1,2,1,1,0,1,0,0,4,5,5,5,5,4,1.0758985,1.435441,4
26846,1,0,1,2,1,0,0,0,1,0,5,4,5,2,4,5,1.0691332,-1.1059406,5
26846,1,0,1,2,1,0,0,0,0,0,4,5,4,4,4,4,0.62529808,0.17298293,4
26846,1,0,1,2,1,1,0,0,1,0,5,3,4,5,4,5,0.19713096,0.81244469,5
26846,1,0,1,2,1,1,0,0,0,0,5,3,5,4,5,5,0.64773136,0.79597932,5
26846,1,0,1,2,1,1,0,0,1,0,5,5,5,5,5,5,1.490535,1.435441,5
26846,1,0,1,2,1,0,0,0,0,0,5,4,4,2,4,5,0.61853278,-1.1059406,5
26846,1,8,1,2,1,0,0,1,0,0,4,4,4,4,4,4,0.20389625,0.17298293,4
26854,2,18,0,1,2,0,0,1,0,0,4,4,3,3,5,4,-0.24670412,0.15651757,4
26854,2,11,0,1,2,0,0,1,0,0,2,3,4,5,5,4,-1.0467787,1.435441,4
26854,2,4,0,1,2,0,0,1,1,0,2,2,2,2,2,2,-2.3693812,-2.3519332,2
26854,2,8,0,1,2,0,0,1,0,0,3,3,3,3,3,3,-1.0827425,-1.0894752,3
26854,2,8,0,1,2,0,0,1,0,0,3,4,5,4,3,3,0.23986009,-0.45001343,3
26854,2,8,0,1,2,0,0,1,1,0,3,3,3,4,3,3,-1.0827425,-0.45001343,3
26854,2,12,0,1,2,0,0,1,1,0,3,3,4,4,3,3,-0.63214213,-0.45001343,3
26854,2,8,0,1,2,1,0,1,0,0,3,4,4,3,4,3,-0.21074028,-0.46647879,3
27458,2,0,0,1,2,1,0,0,0,0,4,4,4,4,3,2,0.20389625,-0.45001343,2
27458,2,0,0,1,2,1,0,0,0,0,4,4,4,3,3,3,0.20389625,-1.0894752,3
27458,2,0,0,1,2,0,0,0,0,0,4,2,4,2,4,2,-0.63890743,-1.1059406,2
27458,2,4,0,1,2,0,0,1,1,0,3,3,3,3,4,3,-1.0827425,-0.46647879,3
27458,2,4,0,1,2,0,0,1,0,0,5,4,3,5,2,3,0.16793244,-0.43354806,3
27458,3,3,0,1,2,0,1,1,1,1,4,4,3,4,4,3,-0.24670412,0.17298293,3
27458,3,11,0,1,2,0,1,1,1,1,5,4,5,4,5,5,1.0691332,0.79597932,5
27458,2,0,0,1,2,0,0,0,1,0,1,2,2,1,2,2,-2.7840178,-2.991395,2
27458,2,3,0,1,2,1,0,1,0,0,5,4,5,4,4,3,1.0691332,0.17298293,3
27458,3,7,0,1,2,0,1,1,0,0,5,5,4,5,4,4,1.0399346,0.81244469,4
27458,2,0,0,1,2,1,0,0,0,0,4,4,3,4,2,4,-0.24670412,-1.0730098,4
27458,3,4,0,1,2,0,1,1,1,1,5,4,5,5,4,5,1.0691332,0.81244469,5
27458,2,0,0,1,2,1,0,0,1,0,4,5,2,2,3,2,-0.27590266,-1.7289369,2
27458,3,7,0,1,2,0,1,1,1,1,4,5,4,5,4,5,0.62529808,0.81244469,5
27458,2,4,0,1,2,1,0,1,0,0,4,4,3,3,4,2,-0.24670412,-0.46647879,2
27458,2,0,0,1,2,0,0,0,0,0,4,5,4,4,3,4,0.62529808,-0.45001343,4
27458,2,8,0,1,2,0,0,1,0,0,4,3,4,3,3,3,-0.21750557,-1.0894752,3
27458,2,3,0,1,2,1,0,1,1,0,4,2,5,5,5,3,-0.18830705,1.435441,3
27458,2,7,0,1,2,0,0,1,0,0,5,4,5,3,5,2,1.0691332,0.15651757,2
27458,2,12,0,1,2,0,0,1,1,0,4,3,2,4,3,3,-1.1187063,-0.45001343,3
27458,2,3,0,1,2,0,0,1,0,0,4,4,4,3,3,2,0.20389625,-1.0894752,2
27458,2,0,0,1,2,1,0,0,1,0,3,2,3,4,3,2,-1.5041443,-0.45001343,2
27458,2,0,0,1,2,1,0,0,1,0,2,2,1,5,2,4,-2.8199816,-0.43354806,4
27458,2,0,0,1,2,1,0,0,0,0,4,3,3,4,3,3,-0.66810596,-0.45001343,3
27458,2,0,0,1,2,1,0,0,1,0,4,5,4,3,2,2,0.62529808,-1.7124715,2
27458,2,0,0,1,2,1,0,0,0,0,5,4,4,4,4,3,0.61853278,0.17298293,3
27458,2,3,0,1,2,0,0,1,1,0,2,1,2,4,3,2,-2.7907832,-0.45001343,2
27458,2,0,0,1,2,0,0,0,1,0,2,2,4,3,3,2,-1.4681805,-1.0894752,2
27458,2,11,0,1,2,0,0,1,1,0,2,1,2,1,1,2,-2.7907832,-3.6143913,2
27458,2,0,0,1,2,1,0,0,1,0,3,4,2,3,2,1,-1.111941,-1.7124715,1
27458,3,0,0,1,2,1,1,0,1,1,5,5,5,5,5,5,1.490535,1.435441,5
27458,2,0,0,1,2,0,0,0,0,0,4,4,4,3,3,4,0.20389625,-1.0894752,4
27458,2,1,0,1,2,0,0,1,0,0,4,4,4,3,3,3,0.20389625,-1.0894752,3
27458,3,3,0,1,2,0,1,1,0,0,5,5,4,5,5,4,1.0399346,1.435441,4
27458,2,0,0,1,2,1,0,0,0,0,4,3,3,2,3,2,-0.66810596,-1.7289369,2
27458,2,0,0,1,2,0,0,0,1,0,3,3,4,3,4,3,-0.63214213,-0.46647879,3
27458,2,10,0,1,2,1,0,1,1,0,4,3,2,3,2,2,-1.1187063,-1.7124715,2
27458,2,0,0,1,2,1,0,0,0,0,4,4,4,5,4,2,0.20389625,0.81244469,2
27458,2,0,0,1,2,1,0,0,1,0,3,1,2,3,4,2,-2.3761466,-0.46647879,2
27458,2,4,0,1,2,0,0,1,0,0,4,3,3,2,4,3,-0.66810596,-1.1059406,3
27458,2,12,0,1,2,0,0,1,1,0,3,2,2,1,2,3,-1.9547447,-2.991395,3
27458,2,0,0,1,2,0,0,0,0,0,4,3,3,2,2,2,-0.66810596,-2.3519332,2
27458,2,0,0,1,2,0,0,0,1,0,4,2,4,4,3,4,-0.63890743,-0.45001343,4
27458,2,0,0,1,2,0,0,0,1,0,4,2,2,5,3,3,-1.5401082,0.18944831,3
27458,2,4,0,1,2,0,0,1,0,0,3,3,3,2,2,1,-1.0827425,-2.3519332,1
27458,2,0,0,1,2,0,0,0,1,0,2,1,2,3,3,3,-2.7907832,-1.0894752,3
27458,2,0,0,1,2,0,0,0,0,0,3,4,4,4,3,3,-0.21074028,-0.45001343,3
27458,2,3,0,1,2,1,0,1,0,0,4,4,4,3,3,2,0.20389625,-1.0894752,2
27458,2,11,0,1,2,0,0,1,0,0,5,2,3,4,4,3,-0.67487127,0.17298293,3
27458,2,3,0,1,2,0,0,1,0,0,4,4,3,2,4,3,-0.24670412,-1.1059406,3
27458,3,7,0,1,2,0,1,1,0,0,5,5,5,4,4,5,1.490535,0.17298293,5
27458,2,3,0,1,2,0,0,1,1,0,3,2,1,2,3,3,-2.4053452,-1.7289369,3
27458,2,0,0,1,2,0,0,0,0,0,4,4,5,3,2,2,0.65449661,-1.7124715,2
27458,2,0,0,1,2,1,0,0,0,0,1,3,4,2,3,2,-1.4614152,-1.7289369,2
27458,2,0,0,1,2,0,0,0,0,0,4,5,4,2,2,4,0.62529808,-2.3519332,4
27458,2,0,0,1,2,1,0,0,1,0,2,2,3,2,2,3,-1.9187809,-2.3519332,3
27458,2,0,0,1,2,0,0,0,0,0,4,4,3,4,4,4,-0.24670412,0.17298293,4
27458,2,0,0,1,2,0,0,0,0,0,4,5,4,3,2,4,0.62529808,-1.7124715,4
27458,3,0,0,1,2,1,1,0,0,0,3,3,4,2,4,4,-0.63214213,-1.1059406,4
27458,2,0,0,1,2,1,0,0,0,0,4,3,5,4,4,3,0.2330948,0.17298293,3
27458,2,3,0,1,2,0,0,1,1,0,2,2,3,2,3,2,-1.9187809,-1.7289369,2
27458,2,3,0,1,2,0,0,1,0,0,4,4,4,4,3,2,0.20389625,-0.45001343,2
27458,2,11,0,1,2,0,0,1,1,0,3,4,2,2,3,2,-1.111941,-1.7289369,2
27458,2,0,0,1,2,1,0,0,0,0,5,3,4,3,4,4,0.19713096,-0.46647879,4
27458,2,0,0,1,2,0,0,0,1,0,3,2,4,5,1,2,-1.0535439,-1.0565444,2
27458,2,3,0,1,2,0,0,1,0,0,4,5,4,3,4,2,0.62529808,-0.46647879,2
27458,2,8,0,1,2,0,0,1,0,0,4,4,3,4,3,3,-0.24670412,-0.45001343,3
27458,3,3,0,1,2,0,1,1,0,0,5,5,4,5,4,5,1.0399346,0.81244469,5
27458,3,5,0,1,2,0,1,1,1,1,5,4,4,3,4,5,0.61853278,-0.46647879,5
27458,2,0,0,1,2,1,0,0,0,0,4,5,4,3,4,2,0.62529808,-0.46647879,2
27458,3,7,0,1,2,0,1,1,1,1,5,5,5,5,5,5,1.490535,1.435441,5
27525,1,0,1,2,3,0,0,0,0,0,3,3,3,3,3,3,-1.0827425,-1.0894752,3
27525,3,3,0,2,3,0,1,1,0,0,4,3,4,4,4,4,-0.21750557,0.17298293,4
27525,1,3,1,2,3,0,0,1,0,0,4,4,4,4,4,4,0.20389625,0.17298293,4
27525,2,2,1,2,3,0,0,1,0,0,4,3,4,4,4,4,-0.21750557,0.17298293,4
27525,3,4,0,2,3,0,1,1,0,0,4,4,4,4,4,4,0.20389625,0.17298293,4
27525,3,4,0,2,3,0,1,1,1,1,5,5,5,5,5,5,1.490535,1.435441,5
27525,3,3,0,2,3,0,1,1,0,0,5,5,5,5,5,5,1.490535,1.435441,5
27525,1,0,1,2,3,0,0,0,1,0,4,3,4,4,4,4,-0.21750557,0.17298293,4
27525,2,0,0,2,3,1,0,0,1,0,5,4,5,5,5,4,1.0691332,1.435441,4
27525,1,0,1,2,3,1,0,0,0,0,4,4,4,4,4,4,0.20389625,0.17298293,4
27525,3,0,0,2,3,1,1,0,1,1,5,3,4,4,4,4,0.19713096,0.17298293,4
27525,1,8,1,2,3,0,0,1,0,0,4,4,4,4,4,4,0.20389625,0.17298293,4
