"","def.race","vict.race","sentence"
"653","white","white","life sentence"
"654","white","white","life sentence"
"655","black","black","life sentence"
"656","white","white","life sentence"
"657","white","white","life sentence"
"658","black","black","life sentence"
"659","white","white","life sentence"
"660","black","white","life sentence"
"661","white","white","life sentence"
"662","black","black","life sentence"
"663","black","white","death penalty"
"664","black","black","life sentence"
"665","black","white","life sentence"
"666","white","white","life sentence"
"667","black","black","life sentence"
"668","white","white","life sentence"
"669","black","black","life sentence"
"670","white","white","life sentence"
"671","black","black","life sentence"
"672","white","white","life sentence"
"673","white","white","life sentence"
"674","white","white","life sentence"
"675","white","white","life sentence"
"676","white","white","life sentence"
"677","white","white","life sentence"
"678","white","white","life sentence"
"679","white","white","life sentence"
"680","white","white","life sentence"
"681","black","white","life sentence"
"682","white","white","life sentence"
"683","white","white","life sentence"
"684","white","white","life sentence"
"685","black","black","life sentence"
"686","white","white","life sentence"
"687","black","black","life sentence"
"688","white","white","death penalty"
"689","white","white","death penalty"
"690","black","white","life sentence"
"691","white","white","life sentence"
"692","white","white","life sentence"
"693","black","black","life sentence"
"694","white","white","life sentence"
"695","black","white","life sentence"
"696","black","white","death penalty"
"697","black","white","death penalty"
"698","white","white","life sentence"
"699","black","black","life sentence"
"700","black","black","death penalty"
"701","white","white","death penalty"
"702","black","black","life sentence"
"703","black","white","life sentence"
"704","black","black","life sentence"
"705","black","black","life sentence"
"706","black","black","life sentence"
"707","black","black","life sentence"
"708","white","white","life sentence"
"709","white","white","life sentence"
"710","black","black","life sentence"
"711","white","white","life sentence"
"712","black","black","life sentence"
"713","white","white","life sentence"
"714","black","black","life sentence"
"715","black","white","life sentence"
"716","white","white","life sentence"
"717","white","white","life sentence"
"718","black","white","life sentence"
"719","black","black","life sentence"
"720","black","black","life sentence"
"721","black","black","life sentence"
"722","black","black","life sentence"
"723","black","black","death penalty"
"724","black","black","death penalty"
"725","black","black","life sentence"
"726","black","white","death penalty"
"727","white","white","life sentence"
"728","white","white","death penalty"
"729","black","black","life sentence"
"730","white","white","life sentence"
"731","black","white","death penalty"
"732","black","black","life sentence"
"733","black","black","life sentence"
"734","black","black","life sentence"
"735","black","black","life sentence"
"736","black","black","life sentence"
"737","black","white","death penalty"
"738","black","black","life sentence"
"739","black","white","death penalty"
"740","black","white","death penalty"
"741","white","white","life sentence"
"742","white","white","life sentence"
"743","white","white","death penalty"
"744","white","white","death penalty"
"745","black","white","life sentence"
"746","black","black","death penalty"
"747","black","white","death penalty"
"748","white","white","life sentence"
"749","black","white","life sentence"
"750","black","black","life sentence"
"751","white","white","life sentence"
"752","black","black","life sentence"
"753","black","black","life sentence"
"754","black","black","death penalty"
"755","black","black","life sentence"
"756","white","white","life sentence"
"757","black","white","life sentence"
"758","white","white","death penalty"
"759","black","white","death penalty"
