"","gender","educ","ideo5","hardtorelate","angry","age","republican","democrat"
"242",1,3,1,0,5,59,0,1
"243",0,2,4,1,4,33,0,1
"244",1,2,4,1,4,90,0,0
"245",0,6,3,0,4,53,0,0
"246",0,5,3,1,4,67,0,0
"247",0,2,2,1,5,64,0,1
"248",0,4,2,0,4,58,0,1
"249",0,2,5,1,5,74,1,0
"250",0,5,5,1,4,56,0,0
"251",0,6,1,0,4,57,0,0
"252",1,6,3,0,5,61,0,0
"253",0,5,1,1,5,46,0,1
"254",0,2,NA,1,1,38,1,0
"255",1,2,3,1,1,45,1,0
"256",0,5,5,1,5,49,1,0
"257",1,5,1,1,5,53,0,1
"258",0,1,3,1,4,44,0,0
"259",0,2,3,0,4,53,0,0
"260",0,5,5,0,3,69,0,0
"261",1,2,NA,1,NA,27,0,0
"262",0,2,2,1,5,79,0,1
"263",0,2,5,1,5,44,1,0
"264",1,2,3,1,5,71,1,0
"265",1,5,4,0,4,35,1,0
"266",1,6,3,0,4,46,0,0
"267",1,3,3,0,5,28,1,0
"268",1,4,4,1,5,39,0,0
"269",1,5,2,1,5,69,0,1
"270",1,2,3,1,4,61,0,0
"271",0,5,3,0,5,59,0,1
"272",0,3,3,1,1,45,1,0
"273",0,6,1,1,4,72,0,1
