pair,date,year,village,district,vilno,disno,treat,poverty,pop2000,lpop2000,pop2002,pret,post,diff,groznyy,elevation,lelev,tariq,nn,lnn,reb,garrison,vildays,fail,swept,deaths,deathsd,wounded,woundedd,prop,propd,lprop,history,historyd,lhistory,change,decrease,increase,abandon,iso,neighbors,_st,_d,_t,_t0
31,11/27/2000,2000,Tolstoy-Yurt,Groznenskiy,130,3,0,2,6934,8.8441935,7755,4,0,-4,0,149,5.0039458,1,1.226,.20375679,1,1,90,0,0,,,,,,,,,,,-1,1,0,0,2,"Goryacheistochnenskaya, Vinogradnoye",1,0,90,0
32,11/29/2000,2000,Dyshne-Vedeno,Vedenskiy,33,15,1,3,3572,8.1808805,3323,0,0,0,0,774,6.6515722,0,2.2850001,.82636613,1,0,90,0,0,1,1,3,1,1,1,.69314718,0,0,0,0,0,0,0,6,"Neftyanoye, Vedeno, Ersenoi, Tazen-Kale, Agish-batoi, Zhani-Vedeno",1,0,90,0
32,11/29/2000,2000,Vedeno,Vedenskiy,138,15,0,3,1512,7.321188,1469,5,6,1,0,702,6.5539341,0,1.331,.28593051,1,0,8,1,0,,,,,,,,,,,1,0,1,0,7,"Oktya'brskoe, Agishbatoi, Dyshne-Vedeno, Neftyanoye, Tazen-Kale, Eshilkhatoy, Ersenoi",1,1,8,0
33,12/9/2000,2000,Staropomyslovskiy (Groznyy),Groznyy,121,2,0,1,20864,9.9457808,53395,17,20,3,1,130,4.8675351,0,4.684,1.544152,0,1,9,1,1,,,,,,,,,,,1,0,1,0,4,"Groznyy (3), Aldy",1,1,9,0
33,12/9/2000,2000,Urus-Martan,Urus-Martanovskiy,136,14,1,2,41122,10.6243,39982,4,4,0,0,234,5.4553208,1,3.7739999,1.328135,0,1,1,1,1,0,0,4,1,12,1,2.564949,1,1,.69314718,0,0,0,0,3,"Tangi,, Goyskoye, Gekhi",1,1,1,0
34,12/13/2000,2000,Aslanbek-Sherpivo,Vedenskiy,10,15,0,3,204,5.31812,200,0,0,0,0,986,6.8936558,0,.74080002,-.3000246,1,0,90,0,0,,,,,,,,,,,0,0,0,0,4,"Musolt-Aul, Marshen-Keli, Benoy, Musen-Kale",1,0,90,0
34,12/13/2000,2000,Urus-Martan,Urus-Martanovskiy,136,14,1,2,41122,10.6243,39982,4,4,0,0,234,5.4553208,1,3.7739999,1.328135,0,1,13,1,1,0,0,4,1,12,1,2.564949,0,0,0,0,0,0,0,3,"Tangi,, Goyskoye, Gekhi",1,1,13,0
35,12/15/2000,2000,Goity,Urus-Martanovskiy,50,14,0,2,11492,9.3494062,13221,4,0,-4,0,217,5.3798971,0,4.6570001,1.538371,0,0,90,0,1,,,,,,,,,,,-1,1,0,0,1,Michurina,1,0,90,0
35,12/15/2000,2000,Makhkety,Vedenskiy,77,15,1,3,3495,8.1590891,3262,1,0,-1,0,649,6.4754329,0,1.676,.51640999,1,0,90,0,0,3,1,5,1,0,0,0,1,1,.69314718,-1,1,0,0,6,"Tevzena, Sel'mentauzen, Tauzen, Khatuni, Khvarshini, Dutsu-Khote",1,0,90,0
36,12/20/2000,2000,Avtury,Shalinskiy,12,10,0,2,10724,9.2802391,18330,3,2,-1,0,247,5.509388,0,5.2360001,1.655558,1,1,56,1,0,,,,,,,,,,,-1,1,0,0,1,Geldagan,1,1,56,0
36,12/20/2000,2000,Grozny (Leninskiy),Groznyy,74,2,1,1,18038,9.8002357,55311,27,22,-5,1,130,4.8675351,0,4.684,1.544152,0,1,1,1,1,10,1,12,1,1,1,.69314718,1,1,.69314718,-1,1,0,0,4,"Groznyy (3), Aldy",1,1,1,0
37,1/24/2001,2001,Chechen-Aul,Groznenskiy,22,3,0,2,6281,8.7452841,7118,2,5,3,0,202,5.3082681,0,6.4920001,1.870571,0,0,3,1,1,,,,,,,,,,,1,0,1,0,0,,1,1,3,0
37,1/24/2001,2001,Novye Atagi,Shalinskiy,95,10,1,2,9311,9.1389513,8741,0,2,2,0,266,5.5834961,0,3.086,1.126876,1,0,48,1,1,0,0,0,0,0,0,0,1,1,.69314718,1,0,1,0,1,Starye Atagi,1,1,48,0
38,1/26/2001,2001,Dutsu-khote,Vedenskiy,31,15,1,3,400,5.9914651,500,0,0,0,0,983,6.8906088,0,1.4816,.39312261,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,"Sel'mentauzen, Khvarshini, Nyukhoy, Makhkety, Bukuzi, Tauzen",1,0,90,0
38,1/26/2001,2001,Vedeno,Vedenskiy,138,15,0,3,1512,7.321188,1469,7,7,0,0,702,6.5539341,0,1.331,.28593051,1,0,17,1,0,,,,,,,,,,,0,0,0,0,7,"Oktya'brskoe, Agishbatoi, Dyshne-Vedeno, Neftyanoye, Tazen-Kale, Eshilkhatoy, Ersenoi",1,1,17,0
39,1/26/2001,2001,Musolt-Aul,Vedenskiy,87,15,0,3,482,6.1779442,500,0,0,0,0,1139,7.0379062,0,.74080002,-.3000246,1,0,90,0,0,,,,,,,,,,,0,0,0,1,6,"Benoy, Aslanbek-Sheripovo, Marshen-Kali, Khal-kiloy, Bogatovka, Tauzen",1,0,90,0
